VEP_HGNC	VEP_Gene	histology	Group	OR.gene	OR.LOH	oe_lof_upper	tau
TEX11	ENSG00000120498	Pancan	OMIM	3.02669248308567	0.400282638779153	0.08	0.973445869
TENM4	ENSG00000149256	Pancan	OMIM	4.5020016125976	6.95273256716801	0.173	0.863295889
ALB	ENSG00000163631	Pancan	OMIM	6.54241328009253	2.40207919003365	0.387	0.83302162
SEC31A	ENSG00000138674	Pancan	OMIM	7.31860100115118	0.953000468189909	0.439	0.174587918
CSF2RB	ENSG00000100368	Pancan	OMIM	2.42838991112326	0.912713030882444	0.441	0.676366908
